year,scope,THC,H,N,N_eff,N_hh,N_eff_count,G
2011,South America,,1.806101,6.0867,5.0,4.361,,0.229307
2011,Africa,,3.205452,24.6666,14.0,13.6743,,0.07313
2011,Oceania,,0.708454,2.0309,2.0,1.493,,0.669777
2012,Global,0.04643,3.81959,45.58562,21.53618,21.5378,17.0,
2012,Europe,,2.75633,15.742,12.0,10.1369,,0.09865
2012,Asia,,3.089766,21.9719,14.0,14.9633,,0.06683
2012,North America,,0.973733,2.6478,3.0,1.7247,,0.579813
2012,South America,,1.826481,6.212,5.0,4.6491,,0.215094
2012,Africa,,3.177464,23.9858,14.0,13.8261,,0.072327
2012,Oceania,,0.692936,1.9996,2.0,1.4658,,0.68223
2013,Global,0.04657,3.81621,45.43186,21.47198,21.4731,17.0,
2013,Europe,,2.736137,15.4273,12.0,9.4662,,0.105639
2013,Asia,,3.083192,21.828,16.0,14.6067,,0.068462
2013,North America,,0.961843,2.6165,3.0,1.7142,,0.583365
2013,South America,,1.764781,5.8403,4.0,4.2022,,0.237973
2013,Africa,,3.118706,22.6171,13.0,12.5814,,0.079483
2013,Oceania,,0.746792,2.1102,2.0,1.491,,0.670672
2014,Global,0.04607,3.82305,45.74355,21.7084,21.7061,16.0,
2014,Europe,,2.742812,15.5306,12.0,9.7285,,0.102791
2014,Asia,,3.079206,21.7411,15.0,13.909,,0.071896
2014,North America,,0.993705,2.7012,3.0,1.7457,,0.572848
2014,South America,,1.810003,6.1105,6.0,4.4246,,0.226011
2014,Africa,,3.135498,23.0001,13.0,12.7541,,0.078406
2014,Oceania,,0.756851,2.1316,2.0,1.5278,,0.654541
2015,Global,0.04614,3.81,45.15025,21.67272,21.6732,16.0,
2015,Europe,,2.757329,15.7577,13.0,10.1147,,0.098866
2015,Asia,,3.034328,20.787,13.0,12.8177,,0.078017
2015,North America,,0.986428,2.6816,3.0,1.7341,,0.576679
2015,South America,,1.791184,5.9965,5.0,4.3922,,0.227677
2015,Africa,,3.145522,23.2318,13.0,12.4975,,0.080016
2015,Oceania,,0.752935,2.1232,2.0,1.5441,,0.647607
2016,Global,0.04623,3.80363,44.86357,21.63155,21.631,17.0,
2016,Europe,,2.772357,15.9963,13.0,10.3753,,0.096383
2016,Asia,,2.980246,19.6927,14.0,11.591,,0.086274
2016,North America,,0.996666,2.7092,3.0,1.748,,0.57207
