time_window,from_country,to_country,weight,degree,strength,p,alpha,significant
1991-1995,RU,US,247,149,8941,0.0276255452410244,0.0158257413764888,1
1991-1995,TR,US,353,149,8941,0.0394810423889945,0.0025756049484447,1
1991-1995,TW,US,273,149,8941,0.0305334973716586,0.0101591073524533,1
1991-1995,RU,UZ,22,7,30,0.7333333333333333,0.0003595939643347,1
1991-1995,US,VE,34,18,116,0.293103448275862,0.0027482084692803,1
1991-1995,RU,VN,8,12,21,0.3809523809523809,0.005116401685129,1
1991-1995,IQ,YE,6,10,21,0.2857142857142857,0.0484002582470508,1
1991-1995,GB,ZA,43,38,186,0.2311827956989247,5.962857766599518e-05,1
1991-1995,US,ZA,36,38,186,0.1935483870967742,0.0003494601419599,1
1991-1995,GB,ZM,8,6,16,0.5,0.03125,1
1991-1995,GB,ZW,8,16,31,0.2580645161290322,0.0113629771343298,1
1996-2000,EG,AE,18,43,235,0.076595744680851,0.0351931877352741,1
1996-2000,GB,AE,34,43,235,0.1446808510638297,0.0014105360696948,1
1996-2000,IN,AE,22,43,235,0.0936170212765957,0.016109910550028,1
1996-2000,JO,AE,17,43,235,0.0723404255319148,0.0426896423147668,1
1996-2000,US,AE,50,43,235,0.2127659574468085,4.328748733713983e-05,1
1996-2000,RU,AM,10,7,17,0.5882352941176471,0.0048741031045835,1
1996-2000,PT,AO,6,12,20,0.3,0.0197732674299999,1
1996-2000,BR,AR,28,36,248,0.1129032258064516,0.0151002799825606,1
1996-2000,ES,AR,29,36,248,0.1169354838709677,0.0128746428554855,1
1996-2000,US,AR,55,36,248,0.2217741935483871,0.0001544176668827,1
1996-2000,DE,AT,121,72,514,0.235408560311284,5.290413622633091e-09,1
1996-2000,GB,AT,41,72,514,0.0797665369649805,0.0027337547063838,1
1996-2000,IT,AT,23,72,514,0.0447470817120622,0.038761849595895,1
1996-2000,US,AT,64,72,514,0.1245136186770428,7.937925697195501e-05,1
1996-2000,CA,AU,98,91,1918,0.0510948905109489,0.0089135491495625,1
1996-2000,CN,AU,76,91,1918,0.0396246089676746,0.0262840371502181,1
1996-2000,DE,AU,67,91,1918,0.0349322210636079,0.0407571147970111,1
1996-2000,GB,AU,332,91,1918,0.173096976016684,3.723164398981524e-08,1
1996-2000,ID,AU,220,91,1918,0.1147028154327424,1.7298859707603483e-05,1
1996-2000,NZ,AU,118,91,1918,0.0615224191866527,0.0032972448923553,1
1996-2000,US,AU,277,91,1918,0.1444212721584984,8.005676552858269e-07,1
1996-2000,RU,AZ,11,9,23,0.4782608695652174,0.005490694497804,1
1996-2000,RS,BA,21,14,52,0.4038461538461538,0.0012013195717213,1
1996-2000,GB,BD,16,29,83,0.1927710843373494,0.0024883295045412,1
1996-2000,JP,BD,13,29,83,0.1566265060240964,0.0084831771034234,1
1996-2000,DE,BE,41,81,769,0.0533159947984395,0.0124854201339828,1
1996-2000,ES,BE,49,81,769,0.0637191157347204,0.0051581329330676,1
1996-2000,FR,BE,68,81,769,0.0884265279583875,0.0006072034818153,1
1996-2000,GB,BE,58,81,769,0.0754226267880364,0.0018856490830898,1
1996-2000,IT,BE,43,81,769,0.0559167750325097,0.0100189560591386,1
1996-2000,NL,BE,42,81,769,0.0546163849154746,0.0111852497221185,1
1996-2000,US,BE,70,81,769,0.0910273081924577,0.0004831331923601,1
1996-2000,RU,BG,10,21,46,0.217391304347826,0.007428367508143,1
1996-2000,IN,BH,6,14,27,0.2222222222222222,0.0381172795696671,1
1996-2000,GB,BN,6,9,16,0.375,0.0232830643653869,1
1996-2000,US,BO,9,19,55,0.1636363636363636,0.0400970626738676,1
1996-2000,CO,BR,76,62,1450,0.0524137931034482,0.037475079238034,1
1996-2000,DE,BR,83,62,1450,0.0572413793103448,0.0274429789381509,1
1996-2000,FR,BR,186,62,1450,0.1282758620689655,0.0002307402582647,1
1996-2000,GB,BR,156,62,1450,0.1075862068965517,0.0009650342340257,1
1996-2000,PE,BR,80,62,1450,0.0551724137931034,0.0313694179237612,1
1996-2000,US,BR,337,62,1450,0.2324137931034482,9.834604243901722e-08,1
1996-2000,IN,BT,10,6,16,0.625,0.007415771484375,1
1996-2000,RU,BY,24,10,39,0.6153846153846154,0.0001841788972115,1
1996-2000,BR,CA,71,108,2038,0.0348380765456329,0.0225019049903856,1
1996-2000,CN,CA,121,108,2038,0.0593719332679097,0.0014312610518689,1
1996-2000,DE,CA,88,108,2038,0.043179587831207,0.0088890672336341,1
1996-2000,FR,CA,142,108,2038,0.0696761530912659,0.000440407196006,1
1996-2000,GB,CA,169,108,2038,0.0829244357212953,9.491787850439886e-05,1
1996-2000,US,CA,562,108,2038,0.2757605495583906,1.0171687905081893e-15,1
1996-2000,DE,CH,241,85,1272,0.1894654088050314,2.171753517398328e-08,1
1996-2000,FR,CH,133,85,1272,0.1045597484276729,9.35568244596383e-05,1
1996-2000,GB,CH,101,85,1272,0.0794025157232704,0.0009590954613893,1
1996-2000,IT,CH,100,85,1272,0.0786163522012578,0.0010303909392308,1
1996-2000,US,CH,252,85,1272,0.1981132075471698,8.82057867008181e-09,1
1996-2000,FR,CI,11,18,30,0.3666666666666666,0.0004243750921845,1
1996-2000,CO,CL,48,36,406,0.1182266009852216,0.01223192352968,1
1996-2000,ES,CL,44,36,406,0.1083743842364532,0.0180463257919114,1
1996-2000,PE,CL,36,36,406,0.0886699507389162,0.0387836936004003,1
1996-2000,US,CL,69,36,406,0.1699507389162561,0.0014744680125158,1
1996-2000,NG,CM,12,12,26,0.4615384615384615,0.0011033201880697,1
1996-2000,DE,CN,30,57,500,0.06,0.0312722984075595,1
1996-2000,GB,CN,64,57,500,0.128,0.000466576817219,1
1996-2000,HK,CN,27,57,500,0.054,0.0446584492743251,1
1996-2000,JP,CN,85,57,500,0.17,2.940174949599375e-05,1
1996-2000,US,CN,107,57,500,0.214,1.392074820741168e-06,1
1996-2000,BR,CO,39,42,522,0.0747126436781609,0.0414325571161439,1
1996-2000,ES,CO,71,42,522,0.1360153256704981,0.0024931453233552,1
1996-2000,MX,CO,43,42,522,0.082375478927203,0.0294622172019926,1
1996-2000,US,CO,100,42,522,0.1915708812260536,0.000163425516547,1
1996-2000,US,CR,27,31,119,0.226890756302521,0.0004438395290696,1
1996-2000,BR,CU,17,32,180,0.0944444444444444,0.0461708721538285,1
1996-2000,CO,CU,52,32,180,0.2888888888888888,2.570759212953845e-05,1
1996-2000,MX,CU,36,32,180,0.2,0.0009903520314283,1
1996-2000,GB,CY,30,15,95,0.3157894736842105,0.0049278390979186,1
1996-2000,TR,CY,21,15,95,0.2210526315789473,0.0302770530777227,1
1996-2000,DE,CZ,14,41,147,0.0952380952380952,0.0182545969631702,1
1996-2000,GB,CZ,14,41,147,0.0952380952380952,0.0182545969631702,1
1996-2000,SK,CZ,12,41,147,0.0816326530612244,0.0331632702380526,1
1996-2000,US,CZ,28,41,147,0.1904761904761904,0.0002133954060613,1
1996-2000,AT,DE,97,107,3266,0.0296999387630128,0.0409300459026897,1
1996-2000,BR,DE,97,107,3266,0.0296999387630128,0.0409300459026897,1
1996-2000,CH,DE,139,107,3266,0.0425597060624617,0.0099503942677983,1
1996-2000,CN,DE,153,107,3266,0.046846295162278,0.0061840311691946,1
